ZIP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,white,black,ai_an,asian,native_hi,other_pac,X2_or_more,hispanic,median_income
48071,11.93319707,10.99424551,13.57914307,14.14092911,17.11284246,12.34299018,15.76357759,15.90695981,14.82561106,13.25354204,14.62950226,0.832957858,0.06115823,0.004306918,0.056089319,0.000397562,0.005665253,0.018022794,0.021402067,46703
48072,6.331162819,6.27634481,3.542951997,5.140270468,10.23197967,7.548970247,7.590396607,4.826488357,7.024851129,6.774668484,7.786397889,0.930204969,0.027812562,0.002636262,0.010545047,0.000922692,0.002306729,0.010808673,0.014763066,66267
48073,8.108689469,7.603006747,7.599199043,8.856231337,11.44296288,7.855968346,8.088739112,6.35534339,6.630710327,7.698279441,8.332151412,0.892266442,0.047992047,0.002139005,0.02283614,0.000331395,0.003976742,0.011689212,0.018769018,61483
48074,12.04969568,8.378507076,7.670389504,9.369288563,10.67533151,7.770008647,9.980913286,11.76509975,13.18344252,10.08731184,10.43583818,0.952643288,0.013242928,0.005932832,0.001589151,0,0.002754529,0.008475474,0.015361797,54681
48075,8.864658311,9.530770817,7.777943942,8.544489936,7.680014195,8.677727522,8.72262771,7.006496205,7.338881317,8.65910078,6.826397728,0.176858259,0.780916066,0.001271007,0.01195688,0.000282446,0.00315398,0.016570164,0.008991197,55934
48076,4.916918325,5.781510407,9.061574758,8.103746301,7.72963563,7.560730442,9.930154172,8.653157429,8.248843965,8.082760994,7.241626877,0.329549486,0.613811044,0.001182452,0.01947105,0.000315321,0.003389697,0.020968823,0.011312128,65737
48079,13.77591164,5.388634704,8.431963418,7.655812833,9.83957439,8.62601441,8.306878649,13.43369809,8.081442913,9.177637411,8.293950796,0.9663202,0.002417211,0.003464668,0.005801305,0,0.002981226,0.007412779,0.011602611,58193
48080,13.72672256,15.80920533,12.96986382,12.14595832,11.24688271,13.21220532,11.46377299,12.38022028,13.66866111,12.16198586,11.4278462,0.88587914,0.073158915,0.003171247,0.01294926,4.40E-05,0.00198203,0.009425652,0.013389711,50806
48081,10.42825289,12.28922425,11.28988007,14.8156871,12.82166524,11.43650004,10.39738724,11.26556021,11.5540699,11.85950958,9.8221356,0.947350658,0.017308712,0.003085676,0.006990984,0,0.002266043,0.009835591,0.013162335,57418
48082,9.015635398,12.55415092,11.15652239,12.65100268,8.864290851,10.51130726,11.87547353,10.92895941,10.60919166,11.80882711,8.897872198,0.951442394,0.016424775,0.003225228,0.005196201,0,0.001313982,0.009854865,0.012542555,53979
48083,5.008125979,6.50254148,5.369113831,5.193088084,4.725229018,5.128956609,5.792305714,4.549495313,4.87815457,6.03587978,6.54037499,0.722701461,0.051237592,0.002947679,0.173002731,4.33E-05,0.007325849,0.016819108,0.025922233,68166
48084,6.59053687,4.449369848,7.855002495,5.455025775,4.229934706,5.51239024,5.469020505,4.613542098,3.664834924,4.219034551,3.375980479,0.663876591,0.04115938,0.001521859,0.253597122,0,0.006917543,0.013627559,0.019299945,89480
48085,5.256528893,5.021626573,3.988581504,5.244241358,3.870850487,2.983749765,3.500825365,3.553253925,3.342073731,3.208296963,5.509089501,0.779757118,0.035306418,0.001286794,0.15160045,0,0.003056136,0.01351134,0.015481744,97908
48088,7.570493521,8.0317922,10.37840816,10.91287844,11.90801246,10.96707419,13.04042259,10.16676424,9.425907135,11.5676426,11.83863601,0.885573465,0.062563829,0.003419031,0.025531726,8.88E-05,0.001953732,0.008480973,0.012388437,53813
48089,18.57467233,20.52859635,21.8638836,25.83465899,23.60957074,21.79095653,23.51919294,22.66425225,20.26249878,17.95358965,18.51256718,0.726587326,0.195900056,0.006355536,0.029036077,0,0.003146613,0.020873575,0.018100816,39492
48091,20.47681542,23.56493001,21.15864797,24.98537316,21.75769073,19.21120695,20.5422992,22.08909295,22.60097186,20.20618489,15.93089869,0.719670163,0.161759131,0.004201946,0.067357513,6.32E-05,0.005876406,0.021136105,0.019935549,38423
48092,10.77345345,11.70773599,11.5497869,11.84748676,12.27858973,13.05944076,11.95309328,14.57299788,12.18437313,12.50134632,12.35953511,0.796187456,0.094269585,0.003480009,0.069058851,0.000734669,0.001701338,0.019758719,0.014809373,50858
